"Index", "Height(Inches)", "Weight(Pounds)"
152, 6739964, 1384659
153, 6647521, 1208184
154, 6601217, 1401539
155, 7244434, 1367397
156, 6412642, 1061139
157, 7098112, 1589562
158, 6750124, 1087868
159, 7201515, 1387758
160, 6531143, 1159136
161, 6707509, 1462922
162, 6439148, 1098765
163, 6937003, 1390499
164, 6837921, 1199001
165, 6531018, 1283069
166, 671369, 1272428
167, 6839468, 1152306
168, 662918, 1247975
169, 671866, 1269511
170, 6599156, 1112711
171, 6943393, 1226089
172, 6797463, 1242084
173, 6776133, 1246453
174, 6527864, 1195169
175, 7383364, 1392983
176, 6681312, 1048265
177, 6689411, 1230424
178, 6573568, 1188923
179, 6598283, 1214939
180, 6658396, 1192488
181, 6711294, 1350239
182, 6587481, 116228
183, 6678067, 1091731
184, 6873577, 1242237
185, 6622666, 1411645
186, 6595968, 1291501
187, 6858372, 1278693
188, 6659347, 1209244
189, 6696574, 1276466
190, 6808015, 1014693
191, 7019025, 1449927
192, 6552149, 1109523
193, 6745905, 1328625
194, 6740985, 1463385
195, 6966158, 1455894
196, 6579799, 1208431
197, 6610558, 1157813
198, 6823987, 1283019
199, 6802403, 1274718
200, 7139044, 1278761
201, 657316, 1214997
202, 6643358, 1127148
203, 7001309, 135002
204, 6948146, 1286789
205, 6862764, 1244062
206, 6836275, 140026
207, 6839028, 117519
208, 6877413, 1438737
209, 699236, 1411703
210, 7155542, 1559414
211, 6844764, 1340093
212, 6671398, 1300975
213, 6668413, 1062265
214, 6793699, 1120489
215, 6889855, 1361884
216, 6729191, 131236
217, 6957212, 1313231
218, 6767479, 1195261
219, 6904155, 1169965
220, 6796765, 1385255
221, 6583982, 1096518
222, 6577288, 1301569
223, 7114106, 1371114
224, 6783055, 113759
225, 650693, 1149725
226, 6970745, 1277149
227, 6992983, 1219972
228, 6611569, 1179607
229, 6861364, 1277141
230, 689976, 1179619
231, 6679171, 1251554
232, 6802363, 1411026
233, 6967258, 1454822
234, 7182178, 116065
235, 7274676, 1357458
236, 6727951, 1329248
237, 6741015, 1156622
238, 685315, 1143184
239, 6847126, 148952
240, 6851867, 1421878
241, 6372529, 134104
242, 6770483, 1418926
243, 6947115, 1387444
244, 6670198, 134449
245, 6523126, 1170167
246, 6989473, 1156752
247, 6983048, 1347905
248, 653979, 1205746
249, 6832214, 1200835
250, 6593895, 843598
251, 7009805, 1389394
252, 6605531, 1435245
253, 6823481, 1231347
254, 6521758, 1155261
255, 6916173, 1209844
256, 6760064, 1206473
257, 6728621, 1240352
258, 6684323, 1172238
259, 6808281, 1279598
260, 6656991, 1167527
261, 7016973, 1219957
262, 6785113, 1239952
263, 6662309, 108855
264, 6368816, 1046574
265, 680356, 132248
266, 66941, 1271834
267, 6626292, 1251209
268, 707301, 133322
269, 7070844, 1223364
270, 7326872, 1302636
271, 6379021, 1167431
272, 6784109, 1258534
273, 6778058, 100627
274, 6723901, 1184945
275, 6675701, 1371255
276, 6903098, 1186991
277, 6852652, 1241641
278, 6465419, 1249442
279, 6514295, 1263889
280, 6674124, 1215255
281, 6699923, 1332951
282, 7026611, 1274072
283, 6757666, 12508
284, 6630582, 1028114
285, 6890702, 1342212
286, 6560543, 1009758
287, 6800189, 1458886
288, 6993715, 1553046
289, 701459, 1387175
290, 6666364, 1162611
291, 6940676, 1206087
292, 6680598, 1144083
293, 6770048, 1333406
294, 6913438, 9274955
295, 6753769, 1317825
296, 6577912, 1183865
297, 6625769, 1311466
298, 6739038, 1302033
299, 6494327, 1291836
300, 6925699, 1431445
301, 6907739, 1387307
302, 6964403, 1309528
303, 6907705, 1243032
304, 6801304, 1353702
305, 6885664, 1241988
306, 6319158, 1112389
307, 6557591, 1294037
308, 6912101, 1277444
309, 6978765, 1213311
310, 6748203, 1182183
311, 6908809, 1233441
312, 685529, 1519118
313, 6821327, 1153108
314, 671012, 1223844
315, 7123661, 1292323
316, 6911946, 1382824
317, 6549848, 1440565
318, 6658706, 1208482
319, 6799831, 1133034
320, 7257747, 1493227
321, 6797585, 1306373
322, 6662347, 122387
323, 6729574, 1338677
324, 6595951, 1348336
325, 6654011, 1378363
326, 6807723, 1126812
327, 6583291, 1211964
328, 6923721, 1149262
329, 6469413, 1103762
330, 6921372, 1260337
331, 6716792, 1187008
332, 678467, 1193108
333, 6927389, 1507397
334, 6790547, 1211142
335, 67076, 1184065
336, 7001531, 142759
337, 7005454, 1456305
338, 7086714, 1273425
339, 660586, 1159678
340, 6523745, 1044441
341, 687413, 1384905
342, 6951946, 1455049
343, 7030764, 1244065
344, 6729982, 1241866
345, 6760582, 1261659
346, 6785566, 1388125
347, 6646536, 1215515
348, 6892071, 1142555
349, 6846886, 1294022
350, 695193, 1375583
351, 7023956, 1344996
352, 6785651, 1277103
353, 6800435, 1156709
354, 6713983, 1315906
355, 6809931, 1275839
356, 6899077, 1257211
357, 6932618, 1199885
358, 7009286, 1408676
359, 6874304, 1369164
360, 6418633, 1184759
361, 6609074, 1295516
362, 6924418, 1520714
363, 6966512, 1208646
364, 6842721, 1361027
365, 6828613, 1300611
366, 6937684, 1317743
367, 6835315, 13938
368, 7232489, 168229
369, 7037159, 1276446
370, 6572927, 1318008
371, 6649627, 1228561
372, 7081339, 1402133
373, 6737579, 1426929
374, 6779709, 1374299
375, 681607, 1260392
376, 6885782, 1435985
377, 6771342, 12262
378, 6466007, 1086044
379, 6573721, 1006617
380, 6842441, 1161397
381, 6888946, 1405293
382, 6827367, 1256907
383, 6918045, 1343329
384, 7260996, 1364649
385, 6604157, 1278822
386, 692288, 1231361
387, 6887697, 1163375
388, 6646042, 1245581
389, 6930444, 1257853
390, 6758249, 1075905
391, 6941816, 1430236
392, 6746867, 1187434
393, 6644873, 1189856
394, 6876185, 1318744
395, 6376881, 1193691
396, 6903663, 1261223
397, 6648966, 1266122
398, 6674224, 1135597
399, 6769394, 1158413
400, 6669066, 1302738
401, 6702877, 1254542
402, 6591096, 1171655
403, 700304, 1373184
404, 6926978, 1494447
405, 7007695, 1510695
406, 6490942, 1169994
407, 6968744, 1381787
408, 6756524, 127621
409, 6385529, 1207514
410, 716189, 1442537
411, 6498993, 1057939
412, 6460759, 1201567
413, 6201666, 1090848
414, 6528516, 125971
415, 6770163, 1102325
416, 7085794, 1344706
417, 6817075, 1155067
418, 6745006, 1251086
419, 7104224, 1164113
420, 6783032, 1333944
421, 6715488, 1087478
422, 6830289, 1343986
423, 6541208, 1312085
424, 6866755, 1308318
425, 7006733, 1270838
426, 6913413, 1194067
427, 6702078, 1055616
428, 6552274, 1344733
429, 7019808, 1326897
430, 6766866, 126058
431, 6973257, 1263532
432, 6761719, 1423603
433, 7079589, 1245873
434, 6965804, 1223604
435, 6673277, 1232298
436, 6758008, 1314049
437, 6525317, 1243037
438, 7071387, 1283836
439, 7127374, 136853
440, 6655913, 1180569
441, 6804247, 1214969
442, 6811699, 1192811
443, 712367, 1265545
444, 6692387, 1292477
445, 7110381, 1347804
446, 6941466, 1460725
447, 6916807, 1624109
448, 6857725, 1301885
449, 6960315, 1321941
450, 6905087, 1274591
451, 6828699, 1253466
452, 6925276, 1347559
453, 6823862, 1219395
454, 676868, 1256688
455, 6884083, 145956
456, 6952061, 1199207
457, 6697668, 1115093
458, 720053, 138676
459, 6744482, 1350151
460, 6606214, 116509
461, 655747, 1239575
462, 6830171, 136952
463, 7102603, 1530797
464, 7076882, 126357
465, 6750812, 1450614
466, 6950936, 1351739
467, 664455, 108806
468, 685689, 1105155
469, 6701296, 1382685
470, 6870004, 1195111
471, 6823013, 1153214
472, 7040713, 1323684
473, 6569989, 9399438
474, 657031, 1274051
475, 6848055, 1343024
476, 6662891, 1249721
477, 6684285, 124072
478, 6989734, 1335476
479, 676543, 1341509
480, 6830917, 1302489
481, 6974848, 1380935
482, 6857906, 1266064
483, 6814477, 1318076
484, 6798093, 1317363
485, 6482535, 1176261
486, 6920785, 1261943
487, 692656, 1275132
488, 709403, 1424785
489, 6907826, 139444
490, 6620183, 1103204
491, 7105779, 1319541
492, 6899493, 1292037
493, 7096089, 1243513
494, 6602496, 1265251
495, 698641, 1492303
496, 6682802, 1421577
497, 6909424, 1271436
498, 6681425, 1223353
499, 6713183, 1126659
500, 6457428, 1342647
501, 6868038, 1206936
502, 6753724, 115783
503, 7117732, 1286855
504, 7053514, 1347611
505, 7153411, 1183419
506, 6677301, 1061557
507, 6633636, 1263823
508, 6483095, 1143716
509, 6838247, 1302787
510, 6805038, 1233066
511, 6909149, 1228571
512, 6991046, 1256932
513, 6840737, 1117247
514, 6832559, 1255516
515, 6695555, 1199702
516, 7054816, 1326043
517, 6937805, 1326738
518, 6752012, 1174521
519, 6487142, 1018549
520, 6913396, 1284418
521, 6881192, 1340414
522, 6756446, 1277511
523, 6816772, 1276172
524, 6580687, 1393971
525, 6492276, 1139381
526, 6835584, 1475188
527, 6671546, 1326523
528, 6918196, 1328139
529, 6588795, 1050942
530, 6603733, 1275187
531, 6944194, 1307305
532, 6714847, 1285815
533, 6569442, 1225699
534, 6942723, 1572961
535, 6654503, 1211097
536, 6904469, 1475061
537, 6762036, 117493
538, 6959105, 1324472
539, 6812343, 1181774
540, 7122641, 1237319
541, 6643285, 130365
542, 6631808, 1228882
543, 6802724, 1078693
544, 682876, 118591
545, 6691609, 1256467
546, 7177546, 1486016
547, 6604535, 150279
548, 6901455, 1270678
549, 6870744, 1287122
550, 65012, 1184233
551, 6605857, 1253879
552, 7116403, 1492676
553, 6755274, 1073484
554, 6883455, 1336992
555, 6811811, 1248508
556, 6790528, 1127028
557, 6764085, 1278407
558, 6978282, 1341615
559, 6799889, 1386031
560, 6941465, 126044
561, 7042989, 1295856
562, 6767519, 1341054
563, 6788036, 1061251
564, 6806905, 1270561
565, 6699435, 1219241
566, 7157689, 1507365
567, 6436564, 1160061
568, 6793011, 1254748
569, 6991863, 1316099
570, 6993864, 1290696
571, 6679766, 1291117
572, 7011119, 1481624
573, 6894814, 105388
574, 6802886, 1105447
575, 6936148, 1186402
576, 6844886, 1228151
577, 6570282, 124887
578, 6955674, 1357695
579, 6584635, 1164563
580, 6879983, 1253617
581, 6903835, 133122
582, 6736352, 1383328
583, 7035788, 1244972
584, 6988828, 1367205
585, 6515319, 1150153
586, 6940907, 1326366
587, 6850874, 1431323
588, 6571552, 1347422
589, 6398308, 1226246
590, 7007685, 1535634
591, 6842542, 126289
592, 6823665, 1347206
593, 6782856, 1345987
594, 6631277, 1183945
595, 6975128, 1212997
596, 6570901, 1322844
597, 6688227, 1390617
598, 672791, 110698
599, 7063357, 1541073
600, 699377, 1241592
601, 6587671, 1345173
602, 7244694, 1382622
603, 7007052, 1490801
604, 6768486, 1270075
605, 661151, 1178222
606, 6994355, 1489096
607, 6824317, 1282151
608, 6880144, 1296944
609, 6661818, 1255674
610, 7018701, 1287947
611, 6558971, 124187
612, 6869566, 1514167
613, 6488639, 1069803
614, 6981993, 1456221
615, 6633962, 1215926
616, 704434, 1309386
617, 6999163, 1356203
618, 7013617, 1239315
619, 671793, 1319955
620, 682034, 117484
621, 6776121, 1296577
622, 6479753, 1223706
623, 6647871, 1145867
624, 6698337, 1165401
625, 6569991, 1394307
626, 6682705, 1234822
627, 6635141, 1325492
628, 7013491, 1434013
629, 7011565, 1329429
630, 6456145, 988972
631, 6815724, 1224342
632, 671475, 1046767
633, 7088927, 1427847
634, 6816218, 1309283
635, 7119657, 143827
636, 6792444, 1422832
637, 6530204, 1079441
638, 6640756, 1056891
639, 7130647, 1254007
640, 6905997, 1064195
641, 6595442, 1185371
642, 6963776, 1367836
643, 7110495, 1459328
644, 6621851, 129637
645, 6613469, 1084955
646, 677851, 1212537
647, 6667737, 1357399
648, 6999408, 1375026
649, 711441, 1240052
650, 6863927, 1288613
651, 6908548, 1336811
652, 6797389, 1065185
653, 6594809, 1130398
654, 6602102, 1259639
655, 7123576, 1402945
656, 6752674, 143229
657, 7106935, 1458063
658, 6827178, 1281697
659, 6731932, 1341839
660, 6898848, 1402166
661, 68404, 1463453
662, 67092, 1320784
663, 6676866, 12213
664, 6564636, 1314693
665, 6534105, 1295167
666, 6818299, 1257451
667, 7065924, 1531384
668, 6594401, 1245559
669, 6962792, 1348225
670, 6829965, 1153877
671, 7006075, 1179618
672, 6843602, 1245647
673, 6927012, 1344043
674, 6770511, 1293092
675, 7089315, 1331423
676, 7054313, 1473609
677, 7158086, 1550132
678, 6842301, 1262905
679, 6935781, 1344605
680, 70445, 1340296
681, 6738153, 1289248
682, 6750767, 1230543
683, 6852054, 1121788
684, 6680858, 1117443
685, 7238532, 1484615
686, 6851642, 1367459
687, 7079791, 1332068
688, 6621905, 1168855
689, 6831167, 1248542
690, 671715, 1215809
691, 677714, 123197
692, 6747328, 1371255
693, 6777463, 1214941
694, 6920099, 1509398
695, 7004297, 1423009
696, 7056979, 1347527
697, 6645379, 1335585
698, 6768132, 1360895
699, 6575638, 9520216
700, 693549, 1197404
701, 705902, 1529146
702, 6727626, 1401991
703, 6848853, 1452503
704, 6702188, 1194855
705, 6577613, 123512
706, 6596579, 1106754
707, 6818868, 1114951
708, 7208595, 1394849
709, 6685358, 133088
710, 6910929, 1335196
711, 645909, 1127698
712, 6703849, 1247975
713, 6899156, 1234224
714, 7059872, 1420921
715, 7008988, 1162814
716, 656844, 1311256
717, 670982, 1312493
718, 6603932, 1272422
719, 6926423, 1224523
720, 6661351, 1152431
721, 6811738, 1269532
722, 6973059, 1434439
723, 6402042, 125377
724, 6623753, 1090095
725, 7246761, 1392411
726, 6621938, 102182
727, 712978, 1443898
728, 631255, 8308527
729, 7093034, 1453938
730, 6825489, 1349267
731, 6478014, 134678
732, 6542982, 1114963
733, 6891361, 1197951
734, 6496937, 9570426
735, 6615237, 117159
736, 6598386, 1272356
737, 692435, 1449205
738, 6831982, 1228464
739, 7011607, 13419
740, 6863521, 1249776
741, 6774289, 1358441
742, 6458641, 1208222
743, 6466165, 1250174
744, 6590771, 1335474
745, 6577649, 1245583
746, 671506, 1359691
747, 7224339, 1435738
748, 6873199, 1305725
749, 6757019, 127192
750, 7036234, 1412372
751, 6362233, 1074236
752, 6620711, 1223234
753, 6622114, 1116055
754, 700722, 1378915
755, 696563, 1428742
756, 6625043, 1144349
757, 680704, 1282736
758, 6714808, 1345725
759, 6876609, 1401034
760, 6812075, 121977
761, 6572987, 1114248
762, 6917439, 1350756
763, 7036351, 1329826
764, 7078557, 1177566
765, 7088083, 1349877
766, 6662148, 1516121
767, 699829, 1289287
768, 6692866, 1201575
769, 7145806, 1256007
770, 6966344, 1278292
771, 6930943, 1361354
772, 6659775, 1162841
773, 6420209, 1270777
774, 6823051, 1257165
775, 7009021, 1210749
776, 709755, 1227382
777, 6493134, 1194545
778, 6690106, 1329048
779, 6919803, 1328687
780, 684149, 1243486
781, 663163, 1322198
782, 7213467, 142804
783, 6574613, 129605
784, 6996677, 1285326
785, 6511417, 1129919
786, 6743294, 1220795
787, 6639785, 118396
788, 6718769, 1301299
789, 6768597, 1116824
790, 6777469, 1422452
791, 6362937, 1226049
792, 66447, 1228198
793, 719233, 1191123
794, 6792214, 1394335
795, 6801143, 1413353
796, 6776524, 119787
797, 6919791, 136326
798, 6700109, 1184099
799, 6709659, 137692
800, 6985144, 129078
801, 6742782, 1234642
802, 681104, 1154311
803, 6829433, 129931
804, 6945176, 1359563
805, 6908219, 1278134
806, 7091753, 1391014
807, 6420566, 1092132
808, 7110315, 1246154
809, 7208523, 136221
810, 6615119, 1204722
811, 6752898, 1161659
812, 6717586, 1155093
813, 7292955, 1419961
814, 6554112, 1354869
815, 6908487, 1351305
816, 6528991, 1082494
817, 6853447, 1251277
818, 7132802, 1428947
819, 6688095, 1282978
820, 6791196, 128268
821, 6700238, 1035665
822, 6827584, 1561069
823, 6620276, 1049661
824, 6424214, 1216365
825, 6743738, 1320066
826, 6450081, 1184079
827, 6889607, 1353898
828, 7032908, 1406633
829, 6431742, 1116703
830, 6711253, 1280328
831, 6801206, 1304737
832, 6825267, 1282127
833, 6776873, 1428202
834, 6744291, 1230804
835, 6573581, 1178771
836, 6964372, 1309274
837, 7192818, 1291735
838, 6939435, 1445784
839, 6714717, 1158635
840, 691469, 1165322
841, 6690594, 1419947
842, 67838, 1321304
843, 6809614, 1352607
844, 6614093, 1270684
845, 7116386, 129844
846, 6755757, 1345066
847, 7001279, 1213609
848, 7256431, 1431486
849, 6660224, 1247741
850, 6851802, 1201546
851, 6634638, 1394163
852, 6902692, 1316743
853, 6912446, 13107
854, 6824578, 1298914
855, 684869, 123344
856, 7068261, 1375314
857, 7035969, 1368886
858, 6762401, 1184024
859, 694463, 1162441
860, 6792486, 1248433
861, 6839347, 1209809
862, 6631812, 1051208
863, 7122882, 1454377
864, 6529169, 1081912
865, 6600287, 1303778
866, 6761775, 1175157
867, 6910276, 1358762
868, 6899743, 1275126
869, 6907531, 1513998
870, 6834086, 1124799
871, 7168196, 1567554
872, 6877664, 1382098
873, 6618191, 1095685
874, 7237092, 1399742
875, 6685155, 1245873
876, 6575688, 1305023
877, 6969245, 1510783
878, 6627915, 1087722
879, 6647752, 1059927
880, 6871912, 1434301
881, 6829244, 1147434
882, 6766696, 1237736
883, 7129885, 1394769
884, 6707369, 1158201
885, 7068048, 1465682
886, 7140114, 1539993
887, 7100392, 1375899
888, 662799, 1259287
889, 6805383, 1396939
890, 6416346, 1263585
891, 6687966, 1139307
892, 7052968, 1297605
893, 6545595, 1161925
894, 6911331, 1391294
895, 6794221, 1269815
896, 672132, 1258352
897, 676372, 113524
898, 7009365, 1232372
899, 6441354, 1230554
900, 6977698, 128133
901, 6658181, 1279357
902, 6814995, 1104678
903, 6618165, 1279364
904, 6679412, 1181678
905, 671657, 1297243
906, 6801904, 1306094
907, 6695837, 1050414
908, 6870397, 1226299
909, 6968057, 1383259
910, 6652793, 1077381
911, 6646981, 1414417
912, 7144643, 1536966
913, 6662648, 1345551
914, 6401015, 1096593
915, 6503312, 1172029
916, 6677216, 1242843
917, 6891932, 1252193
918, 7122926, 1332256
919, 7110332, 1226042
920, 6980699, 1348652
921, 6709127, 1114506
922, 6727958, 1168458
923, 7186593, 1431527
924, 6720197, 9992383
925, 6844108, 1279232
926, 6720278, 136658
927, 6936588, 1453947
928, 690416, 1266818
929, 659056, 1281983
930, 6644766, 1228328
931, 6608009, 1332571
932, 6935367, 1167606
933, 7083359, 1440455
934, 67664, 1325153
935, 6530966, 1239832
936, 6666817, 1131423
937, 6693271, 1239512
938, 6773938, 1339787
939, 6427722, 1281519
940, 6683442, 1212878
941, 6589728, 1227107
942, 676564, 1254136
943, 6868966, 1248761
944, 6608003, 1165903
945, 6691344, 129889
946, 6948392, 123889
947, 6860001, 1376571
948, 6921225, 1308805
949, 6763342, 1419706
950, 6573405, 1257334
951, 6609947, 1044108
952, 6765293, 1170685
953, 6759619, 1317669
954, 6957859, 1254738
955, 6608879, 1295734
956, 7008026, 1301053
957, 6500956, 1319305
958, 6916464, 1424645
959, 6961276, 1276431
960, 7148367, 1533153
961, 6947413, 1267609
962, 690027, 1140258
963, 695581, 1339684
964, 6863746, 1275869
965, 6720262, 1264859
966, 6607614, 1207651
967, 6618342, 1266479
968, 7080778, 1330747
969, 67158, 1259649
970, 652973, 1213206
971, 6923494, 1297824
972, 6890768, 1300549
973, 723478, 1234005
974, 6829557, 1372791
975, 6834735, 1277554
976, 6746476, 1336853
977, 6886803, 1139275
978, 6662471, 1356168
979, 6477193, 1226005
980, 6770647, 1189472
981, 72992, 1342703
982, 7095194, 1242747
983, 6795677, 1306981
984, 6720959, 1246797
985, 6636959, 1290839
986, 6763896, 1219456
987, 6974444, 1262689
988, 6817532, 1346122
989, 6689711, 1318476
990, 674966, 1035828
991, 6651569, 1163925
992, 6688332, 1235095
993, 697277, 1503395
994, 6978345, 1352437
995, 6540046, 1124584
996, 6799831, 1374861
997, 7225581, 1327902
998, 7079562, 1260286
999, 6518786, 1413591
1000, 677123, 1359065
1001, 7005146, 1346655
1002, 6730497, 1220232
1003, 6639813, 1283502
1004, 6973637, 1306354
1005, 6871659, 131717
1006, 6388437, 1086132
1007, 6840851, 1145673
1008, 6793251, 1335136
1009, 7069674, 1358641
1010, 6895083, 1481093
1011, 6649457, 1235179
1012, 6859369, 1208406
1013, 6626442, 1162666
1014, 6958656, 1238986
1015, 6735651, 11932
1016, 6968727, 1194097
1017, 6844046, 1245933
1018, 6847973, 1308802
1019, 6545463, 1182058
1020, 668085, 1096357
1021, 7005212, 1402298
1022, 6743558, 1215764
1023, 6654306, 9830262
1024, 6732353, 1176173
1025, 679725, 1365104
1026, 6903858, 1489791
1027, 6769453, 1239665
1028, 6930508, 1335957
1029, 6539643, 1172334
1030, 6835638, 1235943
1031, 6536888, 1177674
1032, 6836499, 1372321
1033, 7115702, 1291996
1034, 6925532, 1424032
1035, 666984, 1284838
1036, 6917548, 1153008
1037, 6831559, 1195309
1038, 6781616, 1217224
1039, 6856123, 1428442
1040, 6623085, 1101171
1041, 6895099, 1220958
1042, 6786761, 1248188
1043, 6805498, 1193169
1044, 6773986, 1324571
1045, 6983641, 1330316
1046, 7068574, 1608831
1047, 6454385, 119127
1048, 6793112, 138516
1049, 6777291, 1248232
1050, 6941312, 1359744
1051, 6777213, 1162254
1052, 6779965, 1392002
1053, 6798313, 137983
1054, 6997983, 1445084
1055, 6383261, 1091938
1056, 6557212, 127228
1057, 6934307, 1245517
1058, 6728398, 114926
1059, 687435, 1325027
1060, 6903112, 1253892
1061, 6964426, 1284988
1062, 6670052, 1177319
1063, 679143, 1129531
1064, 6436849, 1261835
1065, 6587507, 1187934
1066, 6707427, 1254388
1067, 6934545, 1249451
1068, 6983212, 1455139
1069, 6610245, 1167836
1070, 6926205, 1325216
1071, 6833525, 1148933
1072, 6938017, 1228594
1073, 6912887, 1305782
1074, 6844658, 1191058
1075, 6634542, 1338204
1076, 7003275, 1285779
1077, 7016523, 1390179
1078, 6818324, 1012876
1079, 7012378, 140958
1080, 684296, 1346146
1081, 6643974, 1299482
1082, 7172703, 139064
1083, 7072387, 1351996
1084, 6809022, 129682
1085, 7012976, 1291395
1086, 6605393, 1290051
1087, 6977059, 1127357
1088, 6815816, 1261123
1089, 6991372, 1183724
1090, 6534461, 1229731
1091, 6835621, 1303663
1092, 6450585, 114226
1093, 6795491, 1157854
1094, 6857621, 1379526
1095, 6812257, 1122435
1096, 6877583, 137237
1097, 6792593, 1249418
1098, 691484, 1350961
1099, 6320539, 1144199
1100, 692442, 1221823
1101, 6588645, 129375
1102, 6785186, 1299448
1103, 6557418, 1404557
1104, 6670819, 1208977
1105, 69172, 129159
1106, 6923593, 1371397
1107, 6757232, 1452218
1108, 6950518, 1400956
1109, 7060288, 12412
1110, 6654152, 1356875
1111, 6911494, 127756
1112, 69951, 1440475
1113, 6770347, 1319333
1114, 6919028, 1355263
1115, 678047, 1513579
1116, 6762532, 1247073
1117, 7036898, 135274
1118, 7102595, 1365388
1119, 698452, 1378778
1120, 6708638, 1142066
1121, 6862013, 1415844
1122, 6437275, 1110969
1123, 6593523, 1263868
1124, 6524285, 1328885
1125, 7051481, 1447904
1126, 6661129, 1083859
1127, 6713394, 1241348
1128, 6677634, 1294462
1129, 6769385, 1313339
1130, 6782809, 1116411
1131, 6663254, 1116422
1132, 6762229, 1403178
1133, 6966798, 1255286
1134, 6275039, 11449
1135, 6453878, 113998
1136, 6801929, 1171931
1137, 6638551, 1383156
1138, 7018724, 1223712
1139, 64646, 1329431
1140, 6748819, 1240449
1141, 7201807, 1441591
1142, 6661356, 1154581
1143, 6581803, 1165192
1144, 7116185, 1396139
1145, 6851977, 1332364
1146, 6496088, 120025
1147, 6688268, 1231111
1148, 703531, 1328462
1149, 6771744, 1209359
1150, 6603333, 1297702
1151, 689826, 1369118
1152, 6860237, 131121
1153, 668408, 133484
1154, 6803659, 1363871
1155, 6479586, 1314559
1156, 7055126, 1261986
1157, 6828166, 115046
1158, 6877574, 1303178
1159, 6709315, 1316954
1160, 7014303, 1356519
1161, 6546833, 1203029
1162, 6902275, 1291442
1163, 7424899, 1502167
1164, 6408575, 1202076
1165, 6757977, 132153
1166, 6919395, 1321247
1167, 6448615, 1195029
1168, 6875888, 1367629
